Restaurant_name,Restaurant_url,Restaurant_location,Restaurant_minimum_order,Restaurant_additional_service_charge,Restaurant_additional_VAT,Restaurant_categories_name,Restaurant_categories_food_item_ingredient,Restaurant_categories_food_item_price
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Soup,Cream of pumpkin soup with focaccia bread.,445.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Soup,Traditional minestrone soup served with focaccia bread,460.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Soup,Traditional Italian cream of tomato soup with focaccia bread.,445.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Organic Salad,"Mixed lettuce with boiled eggs, homemade dressing on the side",380.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Organic Salad,"Mixed lettuce with a boiled egg, homemade dressing on the side. With chicken, tuna or feta cheese.",585.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Organic Salad,"Italian style salad, homemade dressing on the side",380.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Organic Salad,"Tuna, onion, potato, tomato, olives and capers tossed inolive oil",610.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Organic Salad,"Italian style salad, homemade dressing on the side With chicken, tuna or feta cheese.",585.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Organic Salad,"Slices of fresh mozzarella and tomato with oregano, basil and olive oil.",620.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Signature Pizza (12 inch),"Tomato sauce, mozzarella, sautéed onions",705.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Signature Pizza (12 inch),"Tomato, pesto sauce, mozzarella, fried potatoes, oregano, rosemary",850.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Signature Pizza (12 inch),"Tomato sauce, mozzarella, chicken, mushrooms, sun-dried tomatoes",850.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Signature Pizza (12 inch),"Tomato sauce, mozzarella, spicy meat sauce, coriander, chilies",850.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Signature Pizza (12 inch),"Tomato sauce, mozzarella, spinach, zucchini, bacon, garlic, parmesan",860.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Signature Pizza (12 inch),"Tomato sauce, mozzarella, spinach, zucchini, mushrooms, garlic, parmesan",850.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Signature Pizza (12 inch),"Tomato sauce, mozzarella, spinach, ricotta, parmesan",780.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Signature Pizza (12 inch),"Tomato sauce, mozzarella, onion, olives, tuna, fresh tomato, rocket",840.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Signature Pizza (12 inch),"Tomato sauce, sliced mozzarella, cherry tomatoes, pesto sauce",750.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Signature Pizza (12 inch),"Tomato sauce, mozzarella, sun-dried tomatoes, rocket, oregano, garlic",750.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Signature Pizza (12 inch),"Tomato sauce, mozzarella, Grilled Vegetables; zucchini, eggplant, red and yellow peppers, onions, garlic, black olives",850.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Signature Pizza (12 inch),"extra mozzarella cheese, cherry tomatoes, pesto",915.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,Unknown,378.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,Unknown,450.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,Unknown,450.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,Unknown,450.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,Unknown,445.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,Unknown,400.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,Unknown,400.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomato sauce,mozzarella",348.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomato sauce, mozzarella, aubergines, black olives, garlic",385.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomato sauce, mozzarella, green peppers, jalapeños, green olives",390.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomato sauce, mozzarella, ham",413.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomato sauce, mozzarella, salami",413.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomato sauce, mozzarella, mushrooms",450.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomato sauce, mozzarella, cooked ham, artichokes, olives",433.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomatoes, mozzarella, ham, pineapple, green peppers, ginger, oregano",433.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomato sauce, imported Italian anchovies, black olives, capers, oregano. served without cheese but optional",428.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,Unknown,450.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,Unknown,455.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,Unknown,450.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,Unknown,415.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomato sauce, mozzarella, olives, oregano",370.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomato sauce, mozzarella, red and yellow peppers, olives,",518.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomato sauce, mozzarella, sweet corn, chicken, potatoes, rosemary",450.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomato sauce, mozzarella, pepperoni",413.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomato sauce, mozzarella, ham, mushrooms",428.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Half & Half Pizza,"Tomato sauce, blue cheese, mozzarella, kanchan cheese, ricotta",445.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomato sauce,mozzarella",645.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomato sauce, mozzarella, aubergines, black olives, garlic",720.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomato sauce, mozzarella, green peppers, jalapeños, green olives",730.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomato sauce, mozzarella, ham",775.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomato sauce, mozzarella, salami",775.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomato sauce, mozzarella,mushrooms",850.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomato sauce, mozzarella, olives, oregano",690.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomato sauce, mozzarella, red and yellow peppers, olives,",985.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomato sauce, mozzarella, sweet corn, chicken, potatoes, rosemary",850.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Mozzarella, ham, mushrooms, egg. Tomato sauce is optional",840.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Mozzarella, ricotta, potatoes, spinach. Tomato sauce is optional",805.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomato sauce, mozzarella, pepperoni",775.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomato sauce, mozzarella, ham, mushrooms",805.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomato sauce, blue cheese, mozzarella, kanchan cheese, ricotta",840.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomato sauce, mozzarella, cooked ham, artichokes, olives",815.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomatoes, mozzarella, ham, pineapple, green peppers, ginger, oregano",815.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Pizza,"Tomato sauce, imported Italian anchovies, black olives, capers, oregano. served without cheese but optional",805.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Extra Toppings for Pizza,Unknown,265.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Extra Toppings for Pizza,Unknown,265.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Extra Toppings for Pizza,Unknown,265.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Extra Toppings for Pizza,Unknown,265.0
Fire And Ice Pizzeria,https://foodmandu.com/Restaurant/Details/269,Thamel,500,10.0,Soup,Extra Toppings for Pizza,Spinach,165.0
